歌名,歌手,专辑,时长,爬取时间
可惜没如果,林俊杰,新地球,298秒,2025-04-13 19:07:33
喜欢你,G.E.M. 邓紫棋,喜欢你,239秒,2025-04-13 19:07:33
普通朋友,陶喆,I'm OK,255秒,2025-04-13 19:07:33
APT.,ROSÉ (로제),APT.,169秒,2025-04-13 19:07:33
爱你没差,周杰伦,十二新作,280秒,2025-04-13 19:07:33
稻香,周杰伦,魔杰座,223秒,2025-04-13 19:07:33
我太笨,锤娜丽莎,我太笨,264秒,2025-04-13 19:07:33
遇见,孙燕姿,The Moment,210秒,2025-04-13 19:07:33
稳稳的幸福,陈奕迅,稳稳的幸福,223秒,2025-04-13 19:07:33
猜不透,丁当,我爱上的,233秒,2025-04-13 19:07:33
搁浅,周杰伦,七里香,240秒,2025-04-13 19:07:33
黄昏,周传雄,Transfer,344秒,2025-04-13 19:07:33
IF YOU,BIGBANG (빅뱅),MADE SERIES 《D》,264秒,2025-04-13 19:07:33
愿与愁,林俊杰,重拾_快乐,231秒,2025-04-13 19:07:33
爱人错过,告五人,我肯定在几百年前就说过爱你,292秒,2025-04-13 19:07:33
起风了 (旧版),买辣椒也用券,起风了 (旧版),312秒,2025-04-13 19:07:33
兰亭序,周杰伦,魔杰座,253秒,2025-04-13 19:07:33
奢香夫人,凤凰传奇,最炫民族风,259秒,2025-04-13 19:07:33
白鸽乌鸦相爱的戏码,潘成（皮卡潘）,白鸽乌鸦相爱的戏码,173秒,2025-04-13 19:07:33
爱爱爱,方大同,爱爱爱,213秒,2025-04-13 19:07:33
小美满,周深,小美满,214秒,2025-04-13 19:07:33
后来,刘若英,我等你,341秒,2025-04-13 19:07:33
那些你很冒险的梦,林俊杰,学不会,244秒,2025-04-13 19:07:33
天外来物,薛之谦,天外来物,257秒,2025-04-13 19:07:33
Love Song,方大同,未来,269秒,2025-04-13 19:07:33
推开世界的门,杨乃文,离心力,282秒,2025-04-13 19:07:33
多幸运,韩安旭,多幸运,249秒,2025-04-13 19:07:33
夜曲,周杰伦,十一月的萧邦,226秒,2025-04-13 19:07:33
Take Me Hand,DAISHI DANCE (ダイシ・ダンス),WONDER Tourism,259秒,2025-04-13 19:07:33
想你时风起,单依纯,我的人间烟火 电视剧原声带,276秒,2025-04-13 19:07:33
他不懂,张杰,听！我们的歌,231秒,2025-04-13 19:07:33
Love Story,Taylor Swift,Fearless (Platinum Edition),236秒,2025-04-13 19:07:33
淘汰,陈奕迅,认了吧,285秒,2025-04-13 19:07:33
虚拟,陈粒,小梦大半,240秒,2025-04-13 19:07:33
恶作剧,王蓝茵,恶作剧之吻 电视剧原声带,226秒,2025-04-13 19:07:33
明明就,周杰伦,十二新作,260秒,2025-04-13 19:07:33
西楼儿女,海来阿木,西楼儿女,257秒,2025-04-13 19:07:33
七里香,周杰伦,七里香,299秒,2025-04-13 19:07:33
Whiplash,aespa (에스파),Whiplash - The 5th Mini Album,183秒,2025-04-13 19:07:33
从前那个女孩,王赫野,从前那个女孩,242秒,2025-04-13 19:07:33
座位,于冬然,座位,208秒,2025-04-13 19:07:33
空空如也,任然,空空如也,213秒,2025-04-13 19:07:33
天天,陶喆,I'm OK,255秒,2025-04-13 19:07:33
有何不可,许嵩,自定义,241秒,2025-04-13 19:07:33
心墙,郭静,在树上唱歌,227秒,2025-04-13 19:07:33
一路生花,温奕心,一路生花,256秒,2025-04-13 19:07:33
平凡之路,朴树,猎户星座,301秒,2025-04-13 19:07:33
像晴天像雨天,汪苏泷,电视剧《难哄》影视原声带·只喜欢你Love Moments,236秒,2025-04-13 19:07:33
暮色回响,吉星出租,神啊可不可以让我感受一下,178秒,2025-04-13 19:07:33
先说爱的人为什么先离开,田园,先说爱的人（我们之间只差一个结果）,220秒,2025-04-13 19:07:33
Shakespeare's Bruises (莎士比亚之殇),蒲熠星,Shakespeare's Bruises (莎士比亚之殇),128秒,2025-04-13 19:07:33
Unchanged Mind,Valentin (ヴァレンティン),Make You,307秒,2025-04-13 19:07:33
你不知道的事,王力宏,十八般武艺,278秒,2025-04-13 19:07:33
